"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1.106015875"	"1.106015875"	"223"	"801"	"0.2177734375"	"0.7822265625"	"AFR"
"1.111802592"	"1.111802592"	"628"	"1004"	"0.384803921568627"	"0.615196078431373"	"AFR"
"11.60449890"	"11.60449890"	"22"	"764"	"0.0279898218829517"	"0.972010178117048"	"AFR"
"12.44313657"	"12.44313657"	"527"	"1037"	"0.33695652173913"	"0.66304347826087"	"AFR"
"12.124066477"	"12.124066477"	"368"	"940"	"0.281345565749235"	"0.718654434250764"	"AFR"
"13.90743183"	"13.90743183"	"416"	"892"	"0.318042813455657"	"0.681957186544342"	"AFR"
"15.63374594"	"15.63374594"	"883"	"985"	"0.472698072805139"	"0.527301927194861"	"AFR"
"19.21841536"	"19.21841536"	"313"	"925"	"0.252827140549273"	"0.747172859450727"	"AFR"
"19.22414379"	"19.22414379"	"813"	"1013"	"0.445235487404162"	"0.554764512595838"	"AFR"
"19.29855781"	"19.29855781"	"623"	"1025"	"0.378033980582524"	"0.621966019417476"	"AFR"
"19.57996939"	"19.57996939"	"65"	"799"	"0.0752314814814815"	"0.924768518518518"	"AFR"
"4.9603240"	"4.9603240"	"687"	"1035"	"0.398954703832753"	"0.601045296167247"	"AFR"
"5.64388440"	"5.64388440"	"136"	"854"	"0.137373737373737"	"0.862626262626263"	"AFR"
"6.32648036"	"6.32648036"	"293"	"845"	"0.257469244288225"	"0.742530755711775"	"AFR"
"6.161270899"	"6.161270899"	"840"	"1038"	"0.447284345047923"	"0.552715654952077"	"AFR"
"X.93606603"	"X.93606603"	"65"	"775"	"0.0773809523809524"	"0.922619047619048"	"AFR"
"11.71875417"	"11.71875417"	"1197"	"837"	"0.588495575221239"	"0.411504424778761"	"AFR"
"11.101565789"	"11.101565789"	"1130"	"876"	"0.563310069790628"	"0.436689930209372"	"AFR"
"12.55727210"	"12.55727210"	"861"	"957"	"0.473597359735974"	"0.526402640264026"	"AFR"
"3.14132679"	"3.14132679"	"974"	"960"	"0.503619441571872"	"0.496380558428128"	"AFR"
"3.195654395"	"3.195654395"	"1284"	"752"	"0.630648330058939"	"0.369351669941061"	"AFR"
"4.120263688"	"4.120263688"	"1053"	"775"	"0.576039387308534"	"0.423960612691466"	"AFR"
"5.8937848"	"5.8937848"	"990"	"964"	"0.506653019447288"	"0.493346980552712"	"AFR"
"7.158029477"	"7.158029477"	"216"	"870"	"0.198895027624309"	"0.801104972375691"	"AFR"
"8.7355392"	"8.7355392"	"661"	"807"	"0.450272479564033"	"0.549727520435967"	"AFR"
"8.18651453"	"8.18651453"	"688"	"992"	"0.40952380952381"	"0.59047619047619"	"AFR"
