"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1.106015875"	"1.106015875"	"0"	"354"	"0"	"1"	"EUR"
"1.111802592"	"1.111802592"	"443"	"541"	"0.45020325203252"	"0.54979674796748"	"EUR"
"11.60449890"	"11.60449890"	"2"	"354"	"0.00561797752808989"	"0.99438202247191"	"EUR"
"12.44313657"	"12.44313657"	"82"	"418"	"0.164"	"0.836"	"EUR"
"12.124066477"	"12.124066477"	"131"	"425"	"0.235611510791367"	"0.764388489208633"	"EUR"
"13.90743183"	"13.90743183"	"111"	"397"	"0.218503937007874"	"0.781496062992126"	"EUR"
"15.63374594"	"15.63374594"	"682"	"526"	"0.564569536423841"	"0.435430463576159"	"EUR"
"19.21841536"	"19.21841536"	"71"	"387"	"0.155021834061135"	"0.844978165938865"	"EUR"
"19.22414379"	"19.22414379"	"338"	"544"	"0.383219954648526"	"0.616780045351474"	"EUR"
"19.29855781"	"19.29855781"	"406"	"542"	"0.428270042194093"	"0.571729957805907"	"EUR"
"19.57996939"	"19.57996939"	"4"	"356"	"0.0111111111111111"	"0.988888888888889"	"EUR"
"4.9603240"	"4.9603240"	"833"	"479"	"0.634908536585366"	"0.365091463414634"	"EUR"
"5.64388440"	"5.64388440"	"46"	"380"	"0.107981220657277"	"0.892018779342723"	"EUR"
"6.32648036"	"6.32648036"	"252"	"436"	"0.366279069767442"	"0.633720930232558"	"EUR"
"6.161270899"	"6.161270899"	"545"	"567"	"0.490107913669065"	"0.509892086330935"	"EUR"
"X.93606603"	"X.93606603"	"0"	"354"	"0"	"1"	"EUR"
"11.71875417"	"11.71875417"	"975"	"363"	"0.728699551569507"	"0.271300448430493"	"EUR"
"11.101565789"	"11.101565789"	"983"	"355"	"0.734678624813154"	"0.265321375186846"	"EUR"
"12.55727210"	"12.55727210"	"854"	"450"	"0.654907975460123"	"0.345092024539877"	"EUR"
"3.14132679"	"3.14132679"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"3.195654395"	"3.195654395"	"944"	"394"	"0.705530642750374"	"0.294469357249626"	"EUR"
"4.120263688"	"4.120263688"	"878"	"360"	"0.709208400646204"	"0.290791599353796"	"EUR"
"5.8937848"	"5.8937848"	"769"	"503"	"0.604559748427673"	"0.395440251572327"	"EUR"
"7.158029477"	"7.158029477"	"330"	"488"	"0.403422982885086"	"0.596577017114914"	"EUR"
"8.7355392"	"8.7355392"	"283"	"409"	"0.408959537572254"	"0.591040462427746"	"EUR"
"8.18651453"	"8.18651453"	"229"	"475"	"0.325284090909091"	"0.674715909090909"	"EUR"
